company_name,MRP,production_cost,transportation_cost_percentage,selling_price,labour_cost,raw_material_cost,rent,advertising,tax_percentage,R_and_D
Kurkure,31.76065933,5.054698831,6.432302259,24.03447746,3.545827981,6.289994978,6.261378658,2.865986504,10.86524311,2.361639722
Kurkure,28.80379455,7.423269514,5.055706968,44.59378949,2.39246557,9.237437306,6.684327118,4.349693022,13.476903,1.070233402
Open Secret,45.39370717,8.597428554,4.299177166,35.37407376,2.911462435,9.432864647,2.468943051,5.978861861,11.5301467,1.395847407
Bikaji Foods,45.10051979,7.581592036,4.731556188,43.40103763,2.755876106,7.192547246,5.099619244,2.077794944,14.17230749,1.013883683
ITC (Bingo!),45.51931546,12.12207899,6.118702991,40.83428906,1.321891125,5.941498555,3.603445768,5.786586517,14.07037776,3.412482629
Makino (Sensible Snacks),37.44618155,12.72210212,7.788995926,29.87141847,3.078563924,4.493503199,6.860362302,1.98960745,5.477357501,2.958952246
Bikaji Foods,49.76233847,6.516882081,4.179051501,31.8522537,1.109800638,4.105730229,7.028996164,2.869650136,6.431824369,3.675042673
Balaji Wafers,23.90343252,7.692891152,7.905762727,19.14766231,4.289021683,8.700804146,5.153442714,5.899692361,10.30476326,0.811320075
Parle (Parle Wafers),35.43573108,9.037227696,7.384630677,42.52973402,2.706284466,5.944680077,5.740850632,3.126907946,5.601544461,3.484316767
ITC (Bingo!),20.45737629,11.44075947,2.449023242,18.25578743,4.279460361,3.222935385,4.816635566,1.906554397,8.683555756,1.406949662
Parle (Parle Wafers),49.34372547,12.89535677,6.373807845,40.94530666,4.650937577,8.192326293,7.107942937,4.074780722,13.37401568,1.002154075
Open Secret,48.77011119,6.174737272,6.157390417,23.99873368,4.021040847,4.084253336,7.035790009,1.199711235,10.79765581,0.771368679
TagZ Foods,20.4167481,13.53423394,2.442158228,23.81251363,3.156541736,4.316211432,3.719110004,3.093220014,14.18930443,3.144539004
Parle (Parle Wafers),42.94213627,9.243198474,7.560099689,26.11517049,3.948859136,9.202214726,2.082703509,2.188376008,5.438327191,2.416505751
